Company,Company Name for Emails,Account Stage,Lists,# Employees,Industry,Account Owner,Website,Company Linkedin Url,Facebook Url,Twitter Url,Company Street,Company City,Company State,Company Country,Company Postal Code,Company Address,Keywords,Company Phone,SEO Description,Technologies,Total Funding,Latest Funding,Latest Funding Amount,Last Raised At,Annual Revenue,Number of Retail Locations,Apollo Account Id,SIC Codes,Short Description,Founded Year,Logo Url
Ceridian,Ceridian,Cold,,5400,information technology & services,vasily.souzdenkov@gmail.com,,http://www.linkedin.com/company/ceridian,,,3311 E Old Shakopee Rd,Minneapolis,Minnesota,United States,55425-1361,"3311 E Old Shakopee Rd, Minneapolis, Minnesota, United States, 55425-1361","onboarding, payroll, performance management, time, attendance, benefits, document management, workforce management, dashboards, recruiting, learning, succession planning, ondemand pay",'+1 800-729-7655,,"Akamai, Salesforce, ExactTarget, Pardot, Microsoft Office 365, Microsoft Azure Hosting, OneTrust, Omniture (Adobe), MongoDB, Flowplayer, Hotjar, Google AdWords Conversion, Google Font API, WordPress.org, Twitter Advertising, Google Dynamic Remarketing, Facebook Custom Audiences, Multilingual, Facebook Widget, Facebook Login (Connect), Cedexis Radar, Google Analytics, Stripe, Marketo, Bootstrap Framework, Cvent, Adobe Media Optimizer, The Trade Desk, YouTube, Typekit, Bing Ads, Linkedin Marketing Solutions, Cornerstone On Demand, DoubleClick, Mobile Friendly, DoubleClick Conversion, Google Tag Manager, Amadesa, Vidyard, Google Play, Vimeo, Wistia",612000000.0,Other,462000000.0,2018-04-01,824500000.0,,6730c3a320a03e0001a43e86,,Ceridian is now Dayforce. Follow us at Dayforce to learn more about our promise to make work life better.,2012.0,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/672dab2c806d700001fb56f3/picture
CenturyLink,CenturyLink,Cold,,25000,information technology & services,vasily.souzdenkov@gmail.com,http://www.centurylink.com,http://www.linkedin.com/company/centurylink,https://www.facebook.com/CenturyLinkHome,http://www.twitter.com/Level3,100 Centurylink Drive,Monroe,Louisiana,United States,71203,"100 Centurylink Drive, Monroe, Louisiana, United States, 71203","web hosting, content delivery, communications, voice, video & data, hosting, big data analytics, it consulting, managed services, global data centers, cloud, security, home services, internet service providers, professional services, television service providers",'+1 855-891-4083,"Discover CenturyLink residential home internet services. Find high-speed internet, local and long distance home phone services, TV, and special bundle offers.","Salesforce, Microsoft Office 365, VueJS, Google Remarketing, Upsellit, Marketo, Eloqua, MotionPoint, OpenSSL, Yahoo Ad Manager Plus, Google Font API, Adobe Media Optimizer, Bootstrap Framework, Google Maps (Non Paid Users), AppNexus, JQuery 1.11.1, Yahoo Analytics, IfByPhone, Horde, reCAPTCHA, Google Play, Simpli.fi, Google Tag Manager, Cedexis Radar, Criteo, Google AdSense, Google Analytics, Twitter Advertising, Google Dynamic Remarketing, iTunes, Amadesa, Amazon Associates, WordPress.org, ClickTale, LivePerson Monitor, Bing Ads, OpinionLab, DoubleClick, Cloudinary, Hotjar, Salesforce Live Agent, AppDynamics, The Trade Desk, Facebook Widget, greyscale - grey, Google AdWords Conversion, BugHerd, Shutterstock, Adobe TestAndTarget, Vimeo, Mobile Friendly, IgnitionOne, Facebook Login (Connect), Google Maps, Visual Website Optimizer, DoubleClick Conversion, New Relic, Linkedin Marketing Solutions, MouseFlow, Facebook Custom Audiences, DoubleClick Floodlight, YouTube, Tealium, Backbone JS Library, Optimizely, Apache, Omniture (Adobe)",140000000.0,Other,140000000.0,2021-10-01,21150000000.0,78.0,6730c3a320a03e0001a43e8d,,"CenturyLink (NYSE: CTL) is a technology leader delivering hybrid networking, cloud connectivity, and security solutions to customers around the world. Through its extensive global fiber network, CenturyLink provides secure and reliable services to meet the growing digital demands of businesses and consumers. CenturyLink strives to be the trusted connection to the networked world and is focused on delivering technology that enhances the customer experience. Learn more at http://news.centurylink.com/.",1930.0,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/672efce398f0040001a4cd6b/picture
Altimetrik,Altimetrik,Cold,,10000,information technology & services,vasily.souzdenkov@gmail.com,http://www.altimetrik.com,http://www.linkedin.com/company/altimetrik,https://www.facebook.com/AltimetrikOfficial/,https://twitter.com/Altimetrik,1000 Town Center,Southfield,Michigan,United States,48075,"1000 Town Center, Southfield, Michigan, United States, 48075","devops, product engineering, platform engineering, data engineering, cloud, talent transformation, devsecops, digital lending platform, digital business, information engineering, cybersecurity, site reliability, cloud engineering, digital transformation, data & analytics, ai, artificial intelligence, genai, platform modernization",'+1 248-281-2500,Altimetrik offers Digital Business services for enterprise IT modernization. Elevate your digital engineering with our innovative solutions.,"Gmail, Outlook, Google Apps, Microsoft Office 365, CloudFlare Hosting, Amazon AWS, Zendesk, SuccessFactors (SAP), VueJS, Atlassian Cloud, Create React App, React, GitLab, Salesforce, Hubspot, Disqus, Vimeo, Google Play, Google Analytics, Bootstrap Framework, Mobile Friendly, Linkedin Marketing Solutions, Google Tag Manager, New Relic, WordPress.org, Typekit, reCAPTCHA, YouTube, Shutterstock, Hotjar, iTunes, Google Font API, AI, Remote",,,,,1100000000.0,,6730c3a320a03e0001a43e8a,7373,"Altimetrik is a pure-play digital business services company. We focus on delivering business outcomes with an agile, product-oriented approach. Our digital business methodology provides a blueprint to manage data as well as develop, scale, and launch new products to market faster. Our team of 6,000+ practitioners with software, data, cloud engineering skills help create a culture of innovation and agility that optimizes team performance, modernizes technology, and builds new business models. As a strategic partner and catalyst, Altimetrik quickly delivers results without disruption to the business.",2012.0,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/6726c9631b91e2000184f1d3/picture
BCforward,BCforward,Cold,,1500,information technology & services,vasily.souzdenkov@gmail.com,http://www.bcforward.com,http://www.linkedin.com/company/bcforward,https://facebook.com/BCforward,https://twitter.com/BCforward,9777 North College Avenue,Indianapolis,Indiana,United States,46280,"9777 North College Avenue, Indianapolis, Indiana, United States, 46280","indiana, outsourcing, staffing, system solutions, recruiting, project management, consulting, quality control, technical writing, managed services, agile transformation, creative services, professional services, payrolling, quality assurance",'+1 317-493-2000,"Our work in IT consulting and workforce fulfillment enables global organizations to innovate faster, scale, and accomplish the extraordinary.","Mimecast, Outlook, MailChimp SPF, Zendesk, VueJS, WP Engine, Leadfeeder, Salesforce Live Agent, Salesforce, WordPress.org, Shutterstock, Typekit, Hubspot, eRecruit, Google Analytics, Gravity Forms, Google Maps, Google Tag Manager, Google Maps (Non Paid Users), reCAPTCHA, Mobile Friendly, CrazyEgg, Python, Remote, Basis",,,,,649600000.0,,6730c3a320a03e0001a43e93,7361,BCforward engaged in offering information technology and staffing solutions.,1998.0,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/672e6a24f75fe5000159aa50/picture
Instacart,Instacart,Cold,,21000,information technology & services,vasily.souzdenkov@gmail.com,http://www.instacart.com,http://www.linkedin.com/company/instacart,https://facebook.com/Instacart,http://twitter.com/instacart,50 Beale Street,San Francisco,California,United States,94105,"50 Beale Street, San Francisco, California, United States, 94105","mobile, e-commerce, local, groceries, information technology, food and beverages, consumer internet, consumer goods, internet, consumers, grocery delivery & online grocery, food, food delivery services, grocery, personal shopping, shopping",'+1 888-246-7822,"Order same-day delivery or pickup from more than 300 retailers and grocers. Download the Instacart app or start shopping online now with Instacart to get groceries, alcohol, home essentials, and more delivered to you <b>in as fast as 1 hour</b> or select curbside pickup from your favorite local stores.","Salesforce, Cloudflare DNS, Route 53, Sendgrid, Gmail, Google Apps, Microsoft Office 365, Zendesk, Amazon AWS, CloudFlare Hosting, Segment.io, Amplitude, Stripe, StatusPage IO, Amazon SES, Pantheon, WP Engine, Atlassian Cloud, Vercel, Typeform, React Redux, MongoDB, Pardot, DoubleClick, Qualtrics, Braintree, Google Analytics, Google AdWords Conversion, Linkedin Marketing Solutions, Google Font API, Google Dynamic Remarketing, Klarna, Ruby On Rails, Facebook Widget, Google Tag Manager, Google Maps, Google Plus, Mobile Friendly, Google Analytics Ecommerce Tracking, DoubleClick Conversion, Facebook Custom Audiences, iTunes, Cedexis Radar, FullStory, reCAPTCHA, Adobe Media Optimizer, YouTube, WordPress.org, Google Maps (Non Paid Users), The Trade Desk, Open AdStream (Appnexus), DoubleClick Floodlight, Facebook Login (Connect), Bing Ads, Google Play, Vimeo, Remote, AI, Basis, Circle",3569230529.0,Other,660000000.0,2023-09-01,3000000000.0,17.0,6730c3ba83177a00014be5bb,7372,"Instacart, the leading grocery technology company in North America, works with grocers and retailers to transform how people shop. The company partners with more than 1,500 national, regional, and local retail banners to facilitate online shopping, delivery and pickup services from more than 85,000 stores across North America on the Instacart Marketplace. Instacart makes it possible for millions of people to get the groceries they need from the retailers they love, and for approximately 600,000 Instacart shoppers to earn by picking, packing and delivering orders on their own flexible schedule. The Instacart Platform offers retailers a suite of enterprise-grade technology products and services to power their e-commerce experiences, fulfill orders, digitize brick-and-mortar stores, provide advertising services, and glean insights. With Instacart Ads, thousands of CPG brands – from category leaders to emerging brands – partner with the company to connect directly with consumers online, right at the point of purchase. With Instacart Health, the company is providing tools to increase nutrition security, make healthy choices easier for consumers, and expand the role that food can play in improving health outcomes. For more information, visit www.instacart.com/company.",2012.0,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/671b9134bec8510001c01c7c/picture
Webflow,Webflow,Cold,,1200,information technology & services,vasily.souzdenkov@gmail.com,http://www.webflow.com,http://www.linkedin.com/company/webflow-inc-,https://facebook.com/webflow/,https://twitter.com/webflow,398 11th Street,San Francisco,California,United States,94103,"398 11th Street, San Francisco, California, United States, 94103","saas, web development, web design, web cms, consumer internet, enterprise software, software, internet, information technology, responsive web design, content management system, prototyping",'+1 916-607-8280,,"Route 53, MailJet, Rackspace MailGun, Gmail, Google Apps, Zendesk, Amazon AWS, Segment.io, Mixpanel, Chartbeat, StatusPage IO, Atlassian Cloud, Drift, Marketo, Mapbox, Webflow, MongoDB, Pardot, Google AdWords Conversion, Google Font API, Google Analytics, MouseFlow, iTunes, Facebook Comments, Unruly Media, Linkedin Marketing Solutions, Facebook Widget, HeapAnalytics, Adobe Media Optimizer, Moat, Dropbox, AWeber, MailChimp, Carbon, Pingdom, Google translate API, Linkedin Login, DoubleClick, Gravity Forms, GetResponse, Salesforce, Hotjar, Disqus, Typekit, CallRail, Mobile Friendly, Greenhouse.io, reCAPTCHA, Vidyard, AddThis, Stripe, Ruby On Rails, WordPress.org, Google Maps (Non Paid Users), DoubleClick Floodlight, Intercom, YouTube, SoundCloud, Open AdStream (Appnexus), Google Tag Manager, LiveChat, Cedexis Radar, Google Play, Twitter Advertising, Optimizely, CrazyEgg, Bing Ads, Facebook Custom Audiences, Eventbrite, Flowplayer, SynXis (Sabre Hospitality), DoubleClick Conversion, Advertising.com, Content.ad, Apple Pay, Google Dynamic Remarketing, Drip, Bootstrap Framework, Google Maps, AppNexus, Visual Website Optimizer, FullStory, AT Internet, Wistia, Vimeo, Linkedin Widget, Hubspot, Cloudinary, Facebook Login (Connect), Google translate widget, Trustpilot, JQuery 2.1.1, Bookenda, JQuery 1.11.1, Intive Referrals, DocuSign, Amadesa, Active Campaign, Google AdSense, LeadForensics, AI, Remote",334900000.0,Series C,120000000.0,2022-03-01,100000000.0,,6730c3ba83177a00014be5bd,"7371, 7372","Webflow is the world's first Website Experience Platform (WXP). Build, manage, and optimize your websites — with the power of AI.",2012.0,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/671b02bf40b6390001f6657a/picture
Servion Global Solutions,Servion Global Solutions,Cold,,1500,information technology & services,vasily.souzdenkov@gmail.com,http://www.servion.com,http://www.linkedin.com/company/servion-global-solutions,https://facebook.com/servion,https://twitter.com/Servion,3 Independence Way,Princeton,New Jersey,United States,08540,"3 Independence Way, Princeton, New Jersey, United States, 08540","contact center optimization, customer interaction management, managed services, predictive self service, product engineering & development, work force optimisation, cloud contact center, intelligent virtual assistants, customer experience, cx advisory services, artificial intelligence, conversational ai",'+1 609-987-0044,,"Salesforce, Cloudflare DNS, ExactTarget, Outlook, Marketo, CloudFlare Hosting, Oracle Cloud, A2 Hosting, Leadfeeder, React, Pardot, YouTube, WordPress.org, DoubleClick Conversion, Google AdWords Conversion, DoubleClick, Google Analytics, Linkedin Marketing Solutions, Mobile Friendly, Google Tag Manager, Intercom, Google Dynamic Remarketing",140000000.0,Private Equity,74000000.0,2017-05-25,156000000.0,,6730c3ba83177a00014be5be,"7372, 7372","Servion, a specialist CX Solutions provider, is dedicated to helping businesses with customer and employee-centric solutions to elevate their CX and EX. Servion leverages cutting-edge AI and cloud technologies to significantly improve customer interactions. We are a consulting-led, vendor-agnostic global system integrator, Servion helps design, build, operate and optimize CX, by leveraging existing infrastructure and introducing our cutting-edge AI and cloud technologies, where it makes sense. 

We have helped over 600 enterprises migrate their contact centers to the cloud, seamlessly implement AI in CX, integrate their business applications and optimized 24x7 managed services. We specialize in environments where risk and compliance are critical, and the infrastructure is complex. We want to establish long term relationships with our clients and helping them continuously improve, that is why our client NPS is over 80!",1995.0,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/67306010eb72530001300a6c/picture
Infinite Computer Solutions,Infinite Computer Solutions,Cold,,11000,information technology & services,vasily.souzdenkov@gmail.com,http://www.infinite.com,http://www.linkedin.com/company/infinite-computer-solutions,https://www.facebook.com/infinitecomputersolutions,https://twitter.com/InfiniteGolf,2600 Tower Oaks Boulevard,Rockville,Maryland,United States,20852,"2600 Tower Oaks Boulevard, Rockville, Maryland, United States, 20852","healthcare, telecom, energy, utilities, banking, finance, mobility, messaging, product engineering, automation, platforms, media, entertainment, government, cloud, infrastructure, bpo, analytics, iot, blockchain, applications, life sciences, hitech, ai",'+91 80419 30000,"Next-Gen Business Technology Platformization™ and Product Engineering Services. Optimize, Modernize, and Scale Customer's Technology landscape and Help Them to Succeed to Become the Forerunners in the Arena of Technology Unification and Autonomy.","Amazon CloudFront, Salesforce, Cloudflare DNS, Route 53, Outlook, Pardot, Microsoft Office 365, JobDiva, Amazon AWS, accessiBe, Google Play, Apache, Kenexa, Google translate widget, Google Tag Manager, Vimeo, Ubuntu, WordPress.org, reCAPTCHA, Hotjar, Gravity Forms, Google Analytics, Google translate API, Mobile Friendly, Google Font API, YouTube",,,,,700000000.0,,6730c3a320a03e0001a43e7f,7371,"Infinite is a global technology solution provider headquartered in Rockville, Md. The company provides business technology solutions and product engineering services for telecom, hi-tech, healthcare, media & entertainment, insurance, banking & financial services, retail, public sector, travel and transport, and government. With the proprietary frameworks, platforms, accelerators, and domain experts, Infinite has been solving challenges for Fortune 1000 companies since 2001. Core service offerings include business transformation, digitalization, cloud services, application development management services, quality engineering and assurance, product/platform engineering, and infrastructure services. For more information, please visit www.infinite.com.",2001.0,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/6729be01570d8d000138412d/picture
CACI International Inc,CACI International,Cold,,22000,information technology & services,vasily.souzdenkov@gmail.com,http://www.caci.com,http://www.linkedin.com/company/caci-international-inc,https://www.facebook.com/pages/CACI-International-Inc/119012761493211?sk=wall,http://twitter.com/CACIIntl,12021 Sunset Hills Rd,Reston,Virginia,United States,20190-3262,"12021 Sunset Hills Rd, Reston, Virginia, United States, 20190-3262","software, information technology, it, intel, government, defense, cyber, business systems, space, electronic warfare, counteruas",'+1 703-841-7800,,"CloudFlare CDN, Route 53, Microsoft Office 365, CloudFlare Hosting, Outlook, Hubspot, Atlassian Cloud, Google Maps, Adform, Bootstrap Framework, AngularJS, Workday Recruit, A2Z Inc, Linkedin Widget, New Relic, reCAPTCHA, YouTube, Shutterstock, Dropbox, Disqus, Google Maps (Non Paid Users), Adobe Media Optimizer, Indeed, Vimeo, Cedexis Radar, Mobile Friendly, Google Tag Manager, Open AdStream (Appnexus), Google Font API, Google Plus, BugHerd, Varnish, Google Analytics, SiteScout, WordPress.org, Nginx, Cloudinary, Typekit, Remote, Sigma, Node.js, Android, SharePoint, IoT, Flutter, Python, AI, SAP, Data Analytics, S/4HANA",,Other,,1968-08-01,7659832000.0,,6730c3a320a03e0001a43e83,7371,"At CACI International Inc (NYSE: CACI), our 24,000 talented and dynamic employees are ever vigilant in delivering distinctive expertise and differentiated technology to meet our customers' greatest challenges in national security. We are a company of good character, relentless innovation, and long-standing excellence. Our culture drives our success and earns us recognition as a Fortune World's Most Admired Company. CACI is a member of the Fortune 1000 Largest Companies, the Russell 1000 Index, and the S&P MidCap 400 Index. For more information, visit us at www.caci.com. 

CACI is an Equal Opportunity Employer - Females/Minorities/Protected Veterans/Individuals with Disabilities",1962.0,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/67302b26a11725000190f6f8/picture
DISH Network,DISH Network,Cold,,23000,telecommunications,vasily.souzdenkov@gmail.com,http://www.dish.com,http://www.linkedin.com/company/dish-network,https://facebook.com/DISH/,https://twitter.com/dish/,9601 S Meridian Blvd,Englewood,Colorado,United States,80112,"9601 S Meridian Blvd, Englewood, Colorado, United States, 80112","digital media, advertising, analytics, television, media, information technology, consumer internet, internet, a leading provider of satellite television, dvr, provides the most hd & international programming in the us, satellite broadband service, iot, wireless, tv, technology, connectivity, communication",'+1 855-681-4258,"Businesses of all kinds can get affordable TV service and property solutions with DISH Business. Request pricing for reliable TV programming for your customers, clients, or tenants.","Amazon CloudFront, Route 53, Mimecast, Microsoft Office 365, Amazon AWS, AWS SDK for JavaScript, React Redux, The Trade Desk, Adobe Marketing Cloud, iCIMS, Salesforce, ServiceNow, MongoDB, Hubspot, Bootstrap Framework, Google Font API, Indeed, DoubleClick, Facebook Login (Connect), Yahoo Analytics, Workday Recruit, Google Dynamic Remarketing, Visual Website Optimizer, WordPress.org, SOASTA, BounceExchange, DoubleClick Conversion, Vimeo, Google Play, Eloqua, Cedexis Radar, Facebook Widget, Qualtrics, Google Analytics, Apache, Google Maps (Paid Users), Chartbeat, Linkedin Marketing Solutions, Multilingual, Outbrain, Adobe Media Optimizer, DoubleClick Floodlight, Piwik, Eventbrite, YouTube, Amadesa, Disqus, Typekit, Facebook Custom Audiences, Twitter Advertising, Ruxit, MouseFlow, Yahoo Ad Manager Plus, Flashtalking, Google AdSense, iTunes, Adobe TestAndTarget, New Relic, Criteo, Google AdWords Conversion, Google Maps, ASP.NET, Mobile Friendly, Unruly Media, Google Tag Manager, Bing Ads, Estara, MediaMath, Omniture (Adobe), Remote",2187959276.0,Debt Financing,2000000000.0,2022-11-01,14634688000.0,,6730c3ba83177a00014be5bc,"3669, 3669","Our adventure began by changing the way people watched TV, bringing DISH to where big cable wouldn't: rural America. Since then, we have reinvented ourselves and our own industry with Sling TV to give millions of consumers more choice in entertainment. Today, we've officially entered the consumer wireless industry as the fourth largest wireless provider with our acquisitions of Boost Mobile, Ting Mobile and Gen Mobile — but that's just the start. We're building America's first cloud-native 5G network to transform the way we live, work and play with unlimited possibilities.",1980.0,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/671b795e2a00f1000138f887/picture
